iter	Passed	Remaining
0	58	57997
1	58	29088
2	58	19463
3	58	14674
4	59	11773
5	59	9839
6	59	8463
7	59	7430
8	60	6627
9	60	5981
10	60	5455
11	60	5015
12	61	4643
13	61	4324
14	61	4054
15	62	3816
16	62	3602
17	62	3411
18	62	3240
19	63	3088
20	63	2949
21	63	2822
22	63	2708
23	64	2603
24	64	2509
25	64	2419
26	64	2335
27	65	2258
28	65	2185
29	65	2119
30	65	2055
31	66	1997
32	66	1941
33	66	1888
34	66	1839
35	66	1792
36	67	1748
37	67	1706
38	67	1667
39	67	1629
40	68	1593
41	68	1560
42	68	1528
43	68	1497
44	69	1467
45	69	1439
46	69	1412
47	69	1386
48	70	1361
49	70	1337
50	70	1314
51	70	1292
52	71	1271
53	71	1250
54	71	1230
55	71	1211
56	72	1193
57	72	1175
58	72	1157
59	72	1141
60	73	1124
61	73	1108
62	73	1093
63	73	1078
64	73	1063
65	74	1049
66	74	1036
67	74	1020
68	74	1008
69	74	995
70	75	983
71	75	972
72	75	961
73	75	950
74	76	939
75	76	929
76	76	919
77	77	911
78	77	902
79	77	892
80	77	883
81	78	874
82	78	866
83	78	857
84	78	847
85	78	839
86	79	829
87	79	821
88	79	813
89	79	806
90	79	798
91	80	791
92	80	783
93	80	776
94	80	769
95	81	763
96	81	756
97	81	749
98	81	743
99	81	736
100	82	730
101	82	723
102	82	717
103	82	711
104	82	706
105	83	700
106	83	694
107	83	689
108	83	684
109	83	679
110	84	674
111	84	669
112	84	664
113	84	659
114	85	655
115	85	649
116	85	645
117	85	640
118	85	635
119	86	631
120	86	626
121	86	622
122	86	617
123	86	613
124	87	609
125	87	605
126	87	601
127	87	596
128	87	592
129	88	589
130	88	585
131	88	582
132	88	579
133	89	575
134	89	572
135	89	568
136	89	565
137	89	561
138	90	558
139	90	554
140	90	551
141	90	548
142	91	545
143	91	542
144	91	539
145	91	536
146	91	533
147	92	530
148	92	528
149	92	526
150	93	523
151	93	520
152	93	517
153	93	515
