iter	Passed	Remaining
0	60	60019
1	60	30124
2	60	20166
3	60	15168
4	61	12178
5	61	10179
6	61	8752
7	61	7681
8	62	6847
9	62	6181
10	62	5636
11	62	5180
12	63	4795
13	63	4465
14	63	4180
15	63	3931
16	64	3710
17	64	3517
18	64	3345
19	65	3191
20	65	3050
21	65	2925
22	66	2811
23	66	2705
24	66	2605
25	67	2511
26	67	2428
27	67	2352
28	68	2282
29	68	2213
30	68	2148
31	68	2086
32	69	2029
33	69	1975
34	69	1925
35	70	1877
36	70	1830
37	70	1786
38	70	1744
39	71	1704
40	71	1666
41	71	1629
42	71	1594
43	71	1561
44	72	1529
45	72	1499
46	72	1471
47	72	1443
48	72	1416
49	73	1391
50	73	1366
51	73	1342
52	73	1319
53	74	1298
54	74	1277
55	74	1256
56	74	1236
57	75	1218
58	75	1199
59	75	1181
60	75	1165
61	75	1149
62	76	1133
63	76	1117
64	76	1103
65	76	1088
66	77	1074
67	77	1061
68	77	1047
69	77	1035
70	78	1022
71	78	1010
72	78	998
73	78	986
74	79	977
75	79	967
76	80	959
77	80	951
78	80	941
79	81	932
80	81	924
81	81	914
82	81	903
83	82	895
84	82	887
85	82	880
86	83	872
87	83	865
88	83	858
89	84	851
90	84	843
91	84	836
92	85	829
93	85	822
94	85	815
95	85	807
96	86	800
97	86	794
98	86	787
99	86	781
100	87	774
101	87	768
102	87	761
103	87	755
104	87	749
105	88	743
106	88	737
107	88	732
108	88	726
109	89	720
110	89	715
111	89	710
112	89	705
113	90	700
114	90	695
115	90	690
116	90	685
117	91	680
118	91	676
119	91	671
120	91	667
121	92	662
122	92	657
123	92	653
124	92	649
125	93	645
126	93	640
127	93	636
128	93	633
129	93	628
130	94	624
131	94	620
132	94	617
133	95	614
134	95	610
135	95	607
136	95	604
137	96	600
138	96	597
139	96	594
140	97	591
141	97	587
142	97	584
143	97	582
144	98	579
145	98	576
146	98	573
147	99	570
148	99	567
149	99	563
150	99	560
151	99	557
152	100	554
153	100	551
154	100	548
155	100	545
156	101	543
157	101	540
158	101	537
159	101	534
160	101	531
161	102	528
162	102	525
163	102	523
164	102	520
165	103	517
166	103	515
167	103	512
168	103	510
169	103	507
170	104	505
171	104	502
172	104	500
173	104	498
174	105	498
175	106	496
176	106	494
177	106	491
178	106	489
179	106	487
180	107	485
181	107	482
182	107	480
183	107	478
184	108	476
185	108	474
186	108	472
187	108	469
188	109	467
189	109	466
190	109	464
191	109	462
192	110	460
193	110	460
194	111	458
195	111	457
196	111	455
197	111	453
198	112	451
199	112	449
200	112	448
201	113	447
202	113	445
203	113	444
204	114	442
205	114	441
206	114	439
207	114	437
208	115	436
209	115	434
210	115	432
211	115	430
212	116	428
213	116	427
214	116	425
215	116	424
216	117	422
217	117	420
218	117	418
219	117	417
220	117	415
221	118	413
222	118	412
223	118	410
224	118	408
225	118	407
226	119	405
227	119	404
228	119	402
229	119	400
230	119	399
231	120	397
232	120	396
233	120	394
234	120	393
235	120	391
236	121	390
237	121	388
238	121	387
239	121	385
240	121	384
241	122	382
242	122	381
243	122	380
244	122	378
245	123	377
246	123	376
247	123	374
248	123	373
249	124	372
250	124	370
251	124	369
252	124	368
253	124	366
254	125	365
255	125	364
256	125	363
257	126	362
258	126	361
259	126	360
260	126	359
261	127	358
262	127	357
263	127	355
264	127	354
265	128	353
266	128	352
267	128	351
268	129	351
269	129	350
270	129	349
271	130	348
272	130	347
273	130	346
274	130	345
275	131	344
276	131	343
277	131	341
278	131	340
279	132	339
280	132	338
281	132	337
282	132	336
283	133	335
284	133	334
285	133	333
286	133	332
287	134	331
288	134	330
289	134	329
290	134	328
291	135	327
292	135	326
293	135	325
294	135	324
295	135	323
296	136	322
297	136	321
298	136	320
299	136	319
300	137	318
301	137	317
302	137	316
303	137	315
304	138	314
305	138	314
306	138	313
307	138	312
308	139	311
309	139	310
310	139	309
311	139	308
312	140	307
313	140	306
314	140	305
315	140	304
316	141	304
317	141	303
318	141	302
319	142	301
320	142	301
321	142	300
322	142	299
323	143	298
324	143	297
325	143	296
326	143	296
327	144	295
328	144	295
329	145	294
330	145	293
331	145	292
332	145	291
333	145	290
334	146	290
335	146	289
336	146	288
337	146	287
338	147	286
339	147	285
340	147	285
341	147	284
342	148	283
343	148	282
344	148	281
345	148	281
346	148	280
347	149	279
348	149	278
349	149	277
350	149	277
351	150	276
352	150	275
353	150	274
354	150	273
355	151	273
356	151	272
357	151	271
358	151	270
359	151	270
360	152	269
361	152	268
362	152	267
363	152	267
364	153	266
365	153	265
366	153	265
367	153	264
368	154	263
369	154	262
370	154	262
371	154	261
372	155	260
373	155	260
374	155	259
375	155	258
376	156	258
377	156	257
378	156	256
379	156	255
380	157	255
381	157	254
382	157	254
383	158	253
384	158	252
385	158	252
386	158	251
387	158	250
388	159	249
389	159	249
390	159	249
391	160	248
392	160	247
393	160	247
394	161	246
395	161	246
396	161	245
397	161	244
398	161	244
399	162	243
400	162	242
401	162	242
402	162	241
403	163	240
404	163	240
405	163	239
406	163	238
407	164	238
408	164	237
409	164	236
410	164	236
411	165	235
412	165	234
413	165	234
414	165	233
415	165	232
416	166	232
417	166	231
418	166	230
419	166	230
420	166	229
421	167	229
422	167	228
423	167	227
424	167	227
425	168	226
426	168	226
427	168	225
428	168	224
429	169	224
430	169	223
431	169	222
432	169	222
433	170	221
434	170	221
435	170	220
436	170	220
437	171	219
438	171	218
439	171	218
440	171	217
441	171	217
442	172	216
443	172	216
444	172	215
445	173	215
446	173	214
447	173	214
448	173	213
449	174	212
450	174	212
451	174	211
452	175	211
453	175	211
454	175	210
455	176	209
456	176	209
457	176	208
458	176	208
459	176	207
460	177	207
461	177	206
462	177	206
463	177	205
464	178	204
465	178	204
466	178	203
467	179	203
468	179	202
469	179	202
470	179	201
471	179	201
472	180	200
473	180	200
474	180	199
475	180	198
476	180	198
477	181	197
478	181	197
479	181	196
480	181	196
481	182	195
482	182	195
483	182	194
484	182	193
485	182	193
486	183	192
487	183	192
488	183	191
489	183	191
490	184	190
491	184	190
492	184	189
493	184	189
494	185	188
495	185	188
496	185	187
497	185	187
498	185	186
499	186	186
500	186	185
501	187	185
502	187	185
503	187	184
504	188	184
505	188	183
506	188	183
507	189	183
508	189	183
509	190	182
510	190	182
511	190	181
512	190	181
513	191	180
514	191	180
515	191	179
516	192	179
517	192	178
518	192	178
519	192	178
520	193	177
521	193	177
522	193	176
523	193	176
524	194	175
525	194	175
526	194	174
527	194	174
528	195	173
529	195	173
530	195	172
531	195	172
532	195	171
533	196	171
534	196	170
535	196	170
536	197	169
537	197	169
538	197	168
539	197	168
540	198	168
541	198	167
542	198	167
543	198	166
544	199	166
545	199	165
546	199	165
547	199	164
548	199	164
549	200	163
550	200	163
551	200	162
552	200	162
553	201	161
554	201	161
555	201	161
556	201	160
557	202	160
558	202	159
559	202	159
560	202	158
561	203	158
562	203	157
563	203	157
564	203	156
565	204	156
566	204	156
567	204	155
568	204	155
569	205	154
570	205	154
571	205	153
572	205	153
573	206	153
574	206	152
575	206	152
576	207	151
577	207	151
578	207	151
579	208	150
580	208	150
581	208	149
582	208	149
583	209	148
584	209	148
585	209	148
586	209	147
587	210	147
588	210	146
589	210	146
590	210	145
591	211	145
592	211	145
593	211	144
594	211	144
595	212	143
596	212	143
597	212	142
598	212	142
599	212	141
600	213	141
601	213	141
602	213	140
603	213	140
604	214	139
605	214	139
606	214	138
607	214	138
608	215	138
609	215	137
610	215	137
611	215	136
612	215	136
613	216	135
614	216	135
615	216	135
616	216	134
617	217	134
618	217	133
619	217	133
620	217	132
621	218	132
622	218	132
623	218	131
624	218	131
625	219	131
626	220	130
627	220	130
628	220	130
629	220	129
630	221	129
631	221	128
632	221	128
633	222	128
634	222	127
635	222	127
636	222	127
637	223	126
638	223	126
639	223	125
640	224	125
641	224	125
642	224	124
643	224	124
644	225	123
645	225	123
646	225	123
647	225	122
648	225	122
649	226	121
650	226	121
651	226	120
652	226	120
653	227	120
654	227	119
655	227	119
656	227	118
657	228	118
658	228	118
659	228	117
660	228	117
661	228	116
662	229	116
663	229	116
664	229	115
665	229	115
666	230	114
667	230	114
668	230	114
669	230	113
670	231	113
671	231	112
672	231	112
673	231	112
674	232	111
675	232	111
676	232	110
677	232	110
678	233	110
679	233	109
680	233	109
681	233	109
682	234	108
683	234	108
684	234	107
685	235	107
686	235	107
687	235	106
688	235	106
689	236	106
690	236	105
691	236	105
692	237	105
693	237	104
694	237	104
695	237	103
696	238	103
697	238	103
698	238	102
699	238	102
700	239	102
701	239	101
702	239	101
703	240	100
704	240	100
705	240	100
706	240	99
707	241	99
708	241	99
709	241	98
710	241	98
711	242	97
712	242	97
713	242	97
714	242	96
715	243	96
716	243	96
717	243	95
718	243	95
719	244	94
720	244	94
721	244	94
722	244	93
723	245	93
724	245	93
725	245	92
726	245	92
727	246	91
728	246	91
729	246	91
730	246	90
731	247	90
